100 1000
37 66 273
37 31 284
37 29 316
37 58 490
37 44 217
37 77 286
37 3 230
37 6 173
37 12 170
37 62 385
37 93 381
37 67 365
37 52 89
44 66 368
44 95 433
44 29 34
44 90 313
44 43 97
44 45 66
44 19 200
44 87 302
44 23 360
48 66 10
48 71 205
48 21 49
48 29 236
48 57 351
48 36 273
48 42 437
48 79 246
48 24 264
48 19 127
48 91 288
48 80 188
48 94 342
48 74 227
48 81 342
48 97 299
48 68 191
48 52 223
48 89 287
53 66 129
53 100 155
53 24 256
53 12 268
53 87 425
53 9 250
53 59 257
53 33 134
53 47 264
61 66 470
61 26 60
61 40 426
61 36 206
61 44 135
61 99 294
61 27 462
61 16 212
61 87 272
61 59 82
61 47 455
61 39 146
39 66 314
39 25 421
39 58 288
39 57 381
39 36 317
39 8 467
39 30 219
39 20 247
39 78 189
39 23 361
39 9 264
39 94 365
39 28 222
71 66 75
71 31 498
71 72 260
71 63 180
71 90 115
71 49 459
71 53 18
71 27 489
71 16 222
71 52 332
71 39 367
70 66 95
70 35 493
70 22 189
70 49 36
70 16 461
70 73 66
70 32 277
70 23 371
70 47 326
70 81 244
70 54 297
70 68 209
26 66 256
26 57 47
26 40 39
26 83 321
26 88 467
26 77 406
26 3 205
26 59 68
26 15 46
26 4 106
26 54 347
26 82 60
26 89 394
26 85 466
45 66 55
45 95 26
45 71 360
45 29 16
45 26 348
45 22 101
45 38 346
45 99 220
45 79 20
45 65 155
45 19 471
45 94 339
66 100 92
66 95 148
66 58 441
66 36 152
66 60 207
66 27 376
66 19 362
66 20 346
66 87 454
66 15 227
66 10 99
66 28 24
77 100 421
77 2 274
77 44 128
77 50 103
77 60 26
77 92 272
77 84 425
77 10 288
77 52 196
77 7 2
77 89 165
77 85 450
34 100 423
34 31 290
34 44 359
34 77 172
34 55 263
34 45 147
34 42 124
34 47 9
91 100 160
91 29 470
91 63 362
91 22 316
91 70 205
91 98 411
91 6 141
91 92 79
91 16 313
91 12 304
91 15 480
91 28 7
72 100 454
72 95 481
72 5 300
72 11 354
72 26 492
72 83 381
72 88 68
72 50 425
